鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
大安區,房地(土地+建物),臺北市大安區羅斯福路二段４１號二樓,75.81,商,,,1150409,土地4建物2車位0,二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0700803,845.54,5,2,3,有,有,350000000,413937,,0.0,0,陽台外推；,RPQNMLKKKHLGFFA47EA,690.7,10.46,47.94,有,
中山區,房地(土地+建物),臺北市中山區松江路４２號八樓之６,2.31,商,,,1150407,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0670823,32.61,1,1,1,有,有,9000000,275989,,0.0,0,陽台外推；,RPSPMLSJMHLGFCA38DA,21.65,0.0,3.5,有,
文山區,土地,木柵段一小段307-9地號,10.0,都市：其他:道路用地(公共設施用地)。61/11/9,,,1150413,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2022000,202200,,0.0,0,,RPTNMLQKMHLGFAA08EA,0.0,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區和平西路三段３０２巷３弄３５號,3.92,住,,,1150323,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,加強磚造,0600414,11.44,2,2,1,有,無,3000000,262238,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTOMLOLLHLGFBA97DA,10.68,0.76,0.0,無,
內湖區,房地(土地+建物)+車位,臺北市內湖區環山路二段３０號二樓之３,44.75,住,,,1150318,土地2建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070928,104.96000000000001,2,2,1,有,有,22800000,271568,坡道平面,32.05,3000000,夾層；其他增建；,RPXNMLKLLHLGFCA97DA,39.3,3.19,4.75,有,001
內湖區,房地(土地+建物)+車位,臺北市內湖區港墘路２２１巷４１號三樓之１,213.03,工,,,1150324,土地1建物6車位8,三層,九層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0901029,1437.67,0,0,0,無,有,190000000,132158,坡道平面,0.0,0,,RPOPMLRJMHLGFCA87DA,720.43,0.0,0.0,有,
中山區,房地(土地+建物),臺北市中山區南京東路一段１３２巷２９號五樓之１,6.36,商,,,1150325,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660525,31.59,1,1,1,有,有,7460000,236151,,0.0,0,其他增建為鐵鋁窗陽台外推；其他增建；,RPQOMLSJMHLGFCA08DA,20.88,0.0,5.4,有,002
中山區,房地(土地+建物),臺北市中山區中山北路二段１２８巷１３號五樓,20.38,住,,,1150323,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0661007,111.35,3,2,1,有,有,8620000,77414,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPVOMLTJMHLGFCA68DA,96.34,0.0,15.01,有,
松山區,房地(土地+建物),臺北市松山區八德路四段１８１巷１７弄１６號四樓,25.75,住,,,1150316,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640510,69.9,4,2,2,有,無,15000000,214592,,0.0,0,,RPTNMLTKLHLGFDA48DA,69.9,0.0,0.0,無,
信義區,房地(土地+建物),臺北市信義區虎林街５０巷８號四樓,45.95,住,,,1150311,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760305,145.42000000000002,4,2,2,有,無,21000000,144409,,0.0,0,,RPROMLSJMHLGFDA28DA,120.61,0.0,10.97,無,
松山區,土地,寶清段七小段489地號,11.9,商,,,1150326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10600000,890756,,0.0,0,,RPPNMLTJMHLGFDA08DA,0.0,0.0,0.0,無,
士林區,土地,中洲段912地號,4.13,都市：其他:堤防用地(公共設施用地)(將來係採用區段徵收之方式辦理整體開發)。80/6/5,,,1150312,土地9建物0車位0,,,其他,,,,0.0,0,0,0,無,無,297600,72058,,0.0,0,包含公共設施保留地用地；,RPVNMLQLLHLGFEA58DA,0.0,0.0,0.0,無,003
士林區,土地,中洲段911地號,20.11,都市：其他:道路用地(公共設施用地) 但是否在遊樂區(細部計畫尚未完成，尚未能准許依變更後計畫用途使用應依建築線或俟地籍測量分割後，再確定)。,,,1150312,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1520000,75584,,0.0,0,包含公共設施保留地用地；,RPWNMLQLLHLGFEA68DA,0.0,0.0,0.0,無,
士林區,土地,中洲段912地號,20.64,都市：其他:堤防用地,,,1150312,土地9建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1377200,66725,,0.0,0,包含公共設施保留地用地；,RPXNMLQLLHLGFEA78DA,0.0,0.0,0.0,無,003
士林區,土地,中洲段895地號,19.01,都市：其他:堤防用地,,,1150312,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1625300,85497,,0.0,0,包含公共設施保留地用地；,SPXNMLQLLHLGFEA88DA,0.0,0.0,0.0,無,
北投區,房地(土地+建物),臺北市北投區紗帽路１１６號四樓,9.78,都市：其他:陽明山國家公園區(請逕向陽明山國家公園管理處申請)。,,,1150327,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670114,94.9,2,1,1,有,有,9200000,96944,,0.0,0,陽台外推；,RPXNMLLMLHLGFEA38DA,69.74,0.0,7.56,有,005
北投區,土地,開明段三小段509地號,21.0,住,,,1150330,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,142857,,0.0,0,,RPQOMLRJMHLGFEA18DA,0.0,0.0,0.0,無,
北投區,房地(土地+建物)+車位,臺北市北投區光明路２００號八樓之２１,2.86,都市：其他:特定觀光商業專用區。,,,1150327,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0940322,41.39,1,1,1,有,有,6300000,206227,坡道機械,16.66,1200000,陽台外推；,RPRNMLTJMHLGFEA38DA,12.95,0.57,1.33,有,006
大安區,房地(土地+建物),臺北市大安區基隆路二段２８１號八樓之１,14.8,住,,,1150307,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0760401,104.42999999999999,2,2,2,有,有,24950000,238916,,0.0,0,,RPPNMLKMLHLGFFA57DA,72.89,0.0,12.52,有,007
大安區,房地(土地+建物),臺北市大安區金山南路二段１８５巷８號,37.88,住,,,1150310,土地1建物1車位0,一層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.76,3,2,2,有,無,32000000,311405,,0.0,0,,RPRNMLKMLHLGFFA77DA,102.76,0.0,0.0,無,
文山區,房地(土地+建物),臺北市文山區興隆路二段２２０巷６５弄２５號二樓,40.9,住,,,1150318,土地2建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680830,98.21,3,1,2,有,無,15000000,152734,,0.0,0,,RPPNMLTJMHLGFAA87EA,84.79,0.0,13.42,無,
文山區,房地(土地+建物),臺北市文山區景福街１３３巷３８號九樓,19.67,住,,,1150313,土地1建物1車位0,九層，電梯樓梯間,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850903,76.51,2,2,1,有,有,15500000,202588,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJMHLGFAA97EA,61.56,0.85,8.06,有,008
文山區,土地,興隆段三小段98地號,43.0,住,,,1150324,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10000000,232558,,0.0,0,未登記建物；,RPRNMLTJMHLGFAA08EA,0.0,0.0,0.0,無,
萬華區,土地,雙園段二小段62-6地號,0.24,都市：其他:道路用地(公共設施用地)。56/8/25,,,1150318,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,75000,0,,0.0,0,包含公共設施保留地用地；,RPQNMLSJMHLGFBA97EA,0.0,0.0,0.0,無,
大同區,土地,市府段三小段79地號,80.0,商,,,1150312,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,162179200,2027240,,0.0,0,政府機關標讓售；,RPQNMLTJMHLGFBA08EA,0.0,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區寶興街６８巷３９號,28.5,住,,,1150316,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600615,70.18,3,2,1,有,無,5380000,76660,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKMHLGFBA17EA,70.18,0.0,0.0,無,
中山區,房地(土地+建物)+車位,臺北市中山區復興北路２２６號十一樓之３,30.97,住,,,1150331,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750314,150.05,3,2,2,有,有,22000000,146618,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTJMHLGFCA28EA,107.93,0.21,6.51,有,009
松山區,房地(土地+建物),臺北市松山區撫遠街２５１號四樓,54.56,都市：其他:住宅用地(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1150311,土地2建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640114,128.06,3,2,2,有,無,21500000,167890,,0.0,0,陽台外推；頂樓加蓋；,RPPNMLTJMHLGFDA18EA,128.06,0.0,0.0,無,010
大安區,房地(土地+建物),臺北市大安區仁愛路四段３００巷２５弄９號四樓,21.78,住,,,1150316,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0730721,113.09,3,2,2,有,有,13000000,114953,,0.0,0,買方負有照顧賣方至往生為止，如有違反，賣方有買回權親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPPNMLKKMHLGFFA57EA,93.91,0.0,12.35,有,
中正區,房地(土地+建物),臺北市中正區泉州街１５１巷５號三樓,35.25,住,,,1150315,土地2建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651029,91.86,3,2,2,有,無,18650000,203026,,0.0,0,陽台外推；,RPQNMLSJMHLGFAA77DA,91.86,0.0,0.0,無,011
文山區,土地,政大段四小段379-2地號,16.91,都市：其他:道路用地(公共設施用地)。63/2/1,,,1150326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,706512,41781,,0.0,0,包含公共設施保留地用地；,RPQNMLNKMHLGFAA37DA,0.0,0.0,0.0,無,012
萬華區,房地(土地+建物),臺北市萬華區和平西路三段３８４號六樓之１５,3.2,住,,,1150314,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700706,22.52,1,1,1,有,有,3780000,167851,,0.0,0,其他增建；,RPPNMLOKLHLGFBA37DA,15.86,0.0,0.0,有,013
大同區,車位,臺北市大同區延平北路二段２４７巷２８、３０號房屋地下二層,5.48,商,,,1150313,土地1建物1車位1,地下二層,十二層,其他,停車場,鋼筋混凝土造,0820819,49.169999999999995,0,0,0,無,有,2500000,,坡道平面,49.18,2500000,僅車位交易；,RPTNMLNLLHLGFBA77DA,0.0,0.0,0.0,有,
萬華區,房地(土地+建物),臺北市萬華區西園路二段２８１巷１號八樓之２,15.87,住,,,1150304,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),住家用,ＲＣ造,1140908,81.93,2,1,1,有,有,19000000,231905,,0.0,0,,RPSNMLSJMHLGFBA08DA,49.32,0.0,5.5,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區成功路四段１７８號十一樓之２,17.43,,,,1150313,土地1建物1車位2,十一層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1070223,268.39,0,0,0,無,有,74000000,275718,坡道平面,58.2,0,,RPPNMLKLLHLGFCA17DA,122.02,3.29,17.12,有,014
